time,state
2025-01-07 22:16:00.344,2
2025-01-07 22:16:00.414,2
2025-01-07 22:16:00.414,3
2025-01-07 22:16:00.592,3
2025-01-07 22:16:00.592,2
2025-01-07 22:16:00.596,2
2025-01-07 22:16:00.596,3
2025-01-07 22:16:00.608,3
2025-01-07 22:16:00.608,2
2025-01-07 22:16:00.740,2
2025-01-07 22:16:00.740,1
2025-01-07 22:16:00.744,1
2025-01-07 22:16:00.744,2
2025-01-07 22:16:00.757,2
2025-01-07 22:16:00.757,1
2025-01-07 22:16:00.826,1
2025-01-07 22:16:00.826,2
2025-01-07 22:16:00.922,2
2025-01-07 22:16:00.922,3
2025-01-07 22:16:01.071,3
2025-01-07 22:16:01.071,2
2025-01-07 22:16:01.222,2
2025-01-07 22:16:01.222,1
2025-01-07 22:16:01.320,1
2025-01-07 22:16:01.320,2
2025-01-07 22:16:01.403,2
2025-01-07 22:16:01.403,3
2025-01-07 22:16:01.403,3
2025-01-07 22:16:01.403,2
2025-01-07 22:16:01.419,2
2025-01-07 22:16:01.419,3
2025-01-07 22:16:01.536,3
2025-01-07 22:16:01.536,2
2025-01-07 22:16:01.552,2
2025-01-07 22:16:01.552,3
2025-01-07 22:16:01.552,3
2025-01-07 22:16:01.552,2
2025-01-07 22:16:01.568,2
2025-01-07 22:16:01.568,3
2025-01-07 22:16:01.569,3
2025-01-07 22:16:01.569,2
2025-01-07 22:16:01.718,2
2025-01-07 22:16:01.718,1
2025-01-07 22:16:01.718,1
2025-01-07 22:16:01.718,2
2025-01-07 22:16:01.734,2
2025-01-07 22:16:01.734,1
2025-01-07 22:16:01.735,1
2025-01-07 22:16:01.735,2
2025-01-07 22:16:01.751,2
2025-01-07 22:16:01.751,1
2025-01-07 22:16:01.817,1
2025-01-07 22:16:01.817,0
2025-01-07 22:16:01.817,0
2025-01-07 22:16:01.817,1
2025-01-07 22:16:01.834,1
2025-01-07 22:16:01.834,0
